Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2016-01-04,37.83484649658203,37.9723485316023,37.241994400874354,37.9723485316023,67382000
2016-01-05,37.938968658447266,38.321082615488606,37.64603185554694,38.067006405203465,45216000
2016-01-06,37.82936477661133,38.148208636276486,37.264913157321885,37.382984893447556,48206000
2016-01-07,36.91617965698242,37.629095246243224,36.631213349622534,37.18968999418795,63132000
2016-01-08,36.41350173950195,37.37053129023787,36.31435857279731,37.25494914960294,47506000
2016-01-11,36.52111053466797,36.62124954479873,35.84805141237484,36.46531304477502,50896000
2016-01-12,37.132389068603516,37.28184878565195,36.68849880220044,36.90371821012561,46816000
2016-01-13,35.84854507446289,37.51400872787988,35.70954928662106,37.331667265708745,51728000
2016-01-14,36.43741226196289,36.860876417193836,35.122678278512176,36.091167571395864,55558000
2016-01-15,35.39618682861328,36.077216405953585,34.94880731505567,35.371275608577626,76676000
2016-01-19,35.824134826660156,36.136505736590735,35.36430347087501,35.87744271286261,48724000
2016-01-20,35.7982292175293,36.21621242989144,34.26478663648025,35.167512394670595,82440000
2016-01-21,36.202266693115234,36.75027938419228,35.42707687823386,35.878439802640955,51938000
2016-01-22,37.138370513916016,37.29281324592546,36.891268984354674,36.9659950471929,47146000
2016-01-25,36.54850769042969,37.48710651679484,36.492710206137794,37.05766353551178,45340000
2016-01-26,36.55698013305664,36.83945682862161,36.21721218594763,36.627726637733176,30940000
2016-01-27,35.74940872192383,36.6615988260805,35.54365358463461,36.6615988260805,42428000
2016-01-28,37.27985763549805,37.422338868220194,36.398052134002214,36.77618271491589,62104000
2016-01-29,37.93000030517578,38.11732097082252,37.07559564007696,37.31273874521192,75808000
2016-02-01,38.3993034362793,38.739071373449804,37.93149774663342,38.42371293715197,111522000
2016-02-02,38.90447235107422,40.37115572158615,38.88902541677989,39.880434289744535,135846000
2016-02-03,37.33366394042969,39.4285668332237,36.680031371551664,39.17199722588971,131114000
2016-02-04,36.36965560913086,37.12741053481493,35.99949935393216,37.095026708656206,104922000
2016-02-05,35.0609016418457,36.204753911654414,34.88055565210724,36.1439772218905,109556000
2016-02-08,35.08082962036133,35.098766155511356,33.977327910797584,34.25980458366888,89410000
2016-02-09,34.92439270019531,35.91779312755305,34.300654391322965,34.52235055798515,84300000
2016-02-10,35.214839935302734,36.0303839899678,35.14210556096363,35.46094940115021,60314000
2016-02-11,35.190433502197266,35.48735747187995,34.43467402709099,34.69124364269693,65004000
